train_hindifullfemale_00001| Author of the danger trail, Philip Steels, etc. 
train_hindifullfemale_00002| Not at this particular case, Tom, apologized Whittemore. 
train_hindifullfemale_00003| For the twentieth time that evening the two men shook hands. 
train_hindifullfemale_00004| Lord, but I'm glad to see you again, Phil. 
train_hindifullfemale_00005| Will we ever forget it. 
train_hindifullfemale_00006| God bless 'em, I hope I'll go on seeing them forever. 
train_hindifullfemale_00007| And you always want to see it in the superlative degree. 
train_hindifullfemale_00008| Gad, your letter came just in time. 
train_hindifullfemale_00009| He turned sharply, and faced Gregson across the table. 
train_hindifullfemale_00010| I'm playing a single hand in what looks like a losing game. 
train_hindifullfemale_00011| If I ever needed a fighter in my life I need one now. 
train_hindifullfemale_00012| Gregson shoved back his chair and rose to his feet. 
train_hindifullfemale_00013| He was a head shorter than his companion, of almost delicate physique. 
train_hindifullfemale_00014| Now you're coming down to business, Phil, he exclaimed. 
train_hindifullfemale_00015| It is the aurora borealis. 
train_hindifullfemale_00016| There's Fort Churchill, a rifle shot beyond the ridge, asleep. 
train_hindifullfemale_00017| From that moment his friendship for Belize turns to hatred and jealousy. 
train_hindifullfemale_00018| There was a change now. 
train_hindifullfemale_00019| I followed the line of the proposed railroad, looking for chances. 
train_hindifullfemale_00020| Clubs and balls and cities grew to be only memories. 
train_hindifullfemale_00021| It fairly clubbed me into recognizing it. 
train_hindifullfemale_00022| Hardly were our plans made public before we were met by powerful opposition. 
train_hindifullfemale_00023| A combination of Canadian capital quickly organized and petitioned for the same privileges. 
train_hindifullfemale_00024| It was my reports from the north which chiefly induced people to buy. 
train_hindifullfemale_00025| I was about to do this when cooler judgment prevailed. 
train_hindifullfemale_00026| It occurred to me that there would have to be an accounting. 
train_hindifullfemale_00027| To my surprise he began to show actual enthusiasm in my favor. 
train_hindifullfemale_00028| Robbery, bribery, fraud, 
train_hindifullfemale_00029| Their forces were already moving into the north country. 
train_hindifullfemale_00030| I had faith in them. 
train_hindifullfemale_00031| They were three hundred yards apart. 
train_hindifullfemale_00032| Since then some mysterious force has been fighting us at every step. 
train_hindifullfemale_00033| He unfolded a long typewritten letter, and handed it to Gregson. 
train_hindifullfemale_00034| Men of Selden's stamp don't stop at women and children. 
train_hindifullfemale_00035| He stopped, and Philip nodded at the horrified question in his eyes. 
train_hindifullfemale_00036| She turned in at the hotel. 
train_hindifullfemale_00037| I was the only one who remained sitting. 
train_hindifullfemale_00038| We'll have to watch our chances. 
train_hindifullfemale_00039| The ship should be in within a week or ten days. 
train_hindifullfemale_00040| I suppose you wonder why she is coming up here. 
train_hindifullfemale_00041| Meanwhile I'll go out to breathe a spell. 
train_hindifullfemale_00042| How could he explain his possession of the sketch. 
train_hindifullfemale_00043| It seemed nearer to him since he had seen and talked with Gregson. 
train_hindifullfemale_00044| Her own betrayal of herself was like tonic to Philip. 
train_hindifullfemale_00045| He moved away as quietly as he had come. 
train_hindifullfemale_00046| The girl faced him, her eyes shining with sudden fear. 
train_hindifullfemale_00047| Close beside him gleamed the white fangs of the wolf dog. 
train_hindifullfemale_00048| He looked at the handkerchief more, closely. 
train_hindifullfemale_00049| Gregson was asleep when he re entered the cabin. 
train_hindifullfemale_00050| In spite of their absurdity the words affected Philip curiously. 
train_hindifullfemale_00051| The lace was of a delicate ivory color, faintly tinted with yellow. 
train_hindifullfemale_00052| It was a curious coincidence. 
train_hindifullfemale_00053| Suddenly his fingers closed tightly over the handkerchief. 
train_hindifullfemale_00054| There was nothing on the rock. 
train_hindifullfemale_00055| Philip stood undecided, his ears strained to catch the slightest sound. 
train_hindifullfemale_00056| Pearce's little eyes were fixed on him shrewdly. 
train_hindifullfemale_00057| I have no idea, replied Philip. 
train_hindifullfemale_00058| I came for information more out of curiosity than anything else. 
train_hindifullfemale_00059| His immaculate appearance was gone. 
train_hindifullfemale_00060| Anyway, no one saw her like that. 
train_hindifullfemale_00061| Philip snatched at the letter which Gregson held out to him. 
train_hindifullfemale_00062| The men stared into each other's face. 
train_hindifullfemale_00063| Yes, it was a man who asked, a stranger. 
train_hindifullfemale_00064| The fourth and fifth days passed without any developments. 
train_hindifullfemale_00065| They closed now until his fingers were like cords of steel. 
train_hindifullfemale_00066| He saw Jeanne falter for a moment. 
train_hindifullfemale_00067| Surely I will excuse you, she cried. 
train_hindifullfemale_00068| In a flash Philip followed its direction. 
train_hindifullfemale_00069| It was his intention to return to Eileen and her father. 
train_hindifullfemale_00070| He would first hunt up Gregson and begin his work there. 
train_hindifullfemale_00071| What was the object of your little sensation. 
train_hindifullfemale_00072| But who was Eileen's double. 
train_hindifullfemale_00073| The promoter's eyes were heavy, with little puffy bags under them. 
train_hindifullfemale_00074| And now, down there, Eileen was waiting for him. 
train_hindifullfemale_00075| There has been a change, she interrupted him. 
train_hindifullfemale_00076| The gray eyes faltered; the flush deepened. 
train_hindifullfemale_00077| It is the fire, partly, she said. 
train_hindifullfemale_00078| Then, and at supper, he tried to fathom her. 
train_hindifullfemale_00079| It was a large canoe. 
train_hindifullfemale_00080| What if Jeanne failed him. 
train_hindifullfemale_00081| What if she did not come to the rock. 
train_hindifullfemale_00082| His face was streaming with blood. 
train_hindifullfemale_00083| A shadow was creeping over Pierre's eyes. 
train_hindifullfemale_00084| Scarcely had he uttered the name when Pierre's closing eyes shot open. 
train_hindifullfemale_00085| A trickle of fresh blood ran over his face. 
train_hindifullfemale_00086| Death had come with terrible suddenness. 
train_hindifullfemale_00087| Philip bent lower, and stared into the face of the dead man. 
train_hindifullfemale_00088| He made sure that the magazine was loaded, and resumed his paddling. 
train_hindifullfemale_00089| The nightglow was treacherous to shoot by. 
train_hindifullfemale_00090| The singing voice approached rapidly. 
train_hindifullfemale_00091| His blood grew hot with rage at the thought. 
train_hindifullfemale_00092| He went down in midstream, searching the shadows of both shores. 
train_hindifullfemale_00093| For a full minute he crouched and listened. 
train_hindifullfemale_00094| He had barely entered this when he saw the glow of a fire. 
train_hindifullfemale_00095| A big canvas tent was the first thing to come within his vision. 
train_hindifullfemale_00096| Perhaps she had already met her fate a little deeper in the forest. 
train_hindifullfemale_00097| Then you can arrange yourself comfortably among these robes in the bow. 
train_hindifullfemale_00098| Shall I carry you. 
train_hindifullfemale_00099| A maddening joy pounded in his brain. 
train_hindifullfemale_00100| You must sleep, he urged. 
train_hindifullfemale_00101| You, you would not keep the truth from me. 
train_hindifullfemale_00102| He will follow us soon. 
train_hindifullfemale_00103| But there came no promise from the bow of the canoe. 
train_hindifullfemale_00104| She was sleeping under his protection as sweetly as a child. 
train_hindifullfemale_00105| Only, it is so wonderful, so almost impossible to believe. 
train_hindifullfemale_00106| The emotion which she had suppressed burst forth now in a choking sob. 
train_hindifullfemale_00107| If you only could know how I thank you. 
train_hindifullfemale_00108| He waded into the edge of the water and began scrubbing himself. 
train_hindifullfemale_00109| Do you know that you are shaking my confidence in you. 
train_hindifullfemale_00110| Much, replied Jeanne, as tersely. 
train_hindifullfemale_00111| Instead, he joined her; and they ate like two hungry children. 
train_hindifullfemale_00112| He was wounded in the arm. 
train_hindifullfemale_00113| I suppose you picked that lingo up among the Indians. 
train_hindifullfemale_00114| Her words sent a strange chill through Philip. 
train_hindifullfemale_00115| He had no excuse for the feelings which were aroused in him. 
train_hindifullfemale_00116| Was it the rendezvous of those who were striving to work his ruin. 
train_hindifullfemale_00117| She added, with genuine sympathy in her face and voice. 
train_hindifullfemale_00118| Pierre obeys me when we are together. 
train_hindifullfemale_00119| Jeanne was turning the bow shoreward. 
train_hindifullfemale_00120| My right foot feels like that of a Chinese debutante. 
train_hindifullfemale_00121| They ate dinner at the fifth, and rested for two hours. 
train_hindifullfemale_00122| Two years ago I gave up civilization for this. 
train_hindifullfemale_00123| She had died from cold and starvation. 
train_hindifullfemale_00124| It was Jeanne singing softly over beyond the rocks. 
train_hindifullfemale_00125| He was determined now to maintain a more certain hold upon himself. 
train_hindifullfemale_00126| Each day she became a more vital part of him. 
train_hindifullfemale_00127| It was a temptation, but he resisted it. 
train_hindifullfemale_00128| This one hope was destroyed as quickly as it was born. 
train_hindifullfemale_00129| Her face was against his breast. 
train_hindifullfemale_00130| She was his now, forever. 
train_hindifullfemale_00131| Providence had delivered him through the maelstrom. 
train_hindifullfemale_00132| A cry of joy burst from Philip's lips. 
train_hindifullfemale_00133| Philip began to feel that he had foolishly overestimated his strength. 
train_hindifullfemale_00134| He obeyed the pressure of her hand. 
train_hindifullfemale_00135| I am going to surprise father, and you will go with Pierre. 
train_hindifullfemale_00136| About him, everywhere, were the evidences of luxury and of age. 
train_hindifullfemale_00137| Then he stepped back with a low cry of pleasure. 
train_hindifullfemale_00138| In the picture he saw each moment a greater resemblance to Jeanne. 
train_hindifullfemale_00139| He told himself that as he washed himself and groomed his disheveled clothes. 
train_hindifullfemale_00140| Accept a father's blessing, and with it, this. 
train_hindifullfemale_00141| It seems like a strange pointing of the hand of God. 
train_hindifullfemale_00142| Such things had occurred before, he told Philip. 
train_hindifullfemale_00143| Ah, I had forgotten, he exclaimed. 
train_hindifullfemale_00144| But there was something even more startling than this resemblance. 
train_hindifullfemale_00145| I have to be careful of them, as they tear very easily. 
train_hindifullfemale_00146| Of course, that is uninteresting, she continued. 
train_hindifullfemale_00147| A moment before he was intoxicated by a joy that was almost madness. 
train_hindifullfemale_00148| Now these things had been struck dead within him. 
train_hindifullfemale_00149| For an instant he saw Pierre drawn like a silhouette against the sky. 
train_hindifullfemale_00150| Goodbye, Pierre, he shouted. 
train_hindifullfemale_00151| And MacDougall was beyond the trail, with three weeks to spare. 
train_hindifullfemale_00152| Philip thrust himself against it and entered. 
train_hindifullfemale_00153| MacDougall tapped his forehead suspiciously with a stubby forefinger. 
train_hindifullfemale_00154| He was smooth shaven, and his hair and eyes were black. 
train_hindifullfemale_00155| Won't you draw up, gentlemen. 
train_hindifullfemale_00156| A strange fire burned in his eyes when Thorpe turned. 
train_hindifullfemale_00157| He had worshiped her, as Dante might have worshiped Beatrice. 
train_hindifullfemale_00158| Does that look good. 
train_hindifullfemale_00159| They look as though he had been drumming a piano all his life. 
train_hindifullfemale_00160| You want to go over and see his gang throw dirt. 
train_hindifullfemale_00161| Take away their foreman and they wouldn't be worth their grub. 
train_hindifullfemale_00162| That's the sub foreman, explained Thorpe. 
train_hindifullfemale_00163| Philip made no effort to follow. 
train_hindifullfemale_00164| He came first a year ago, and revealed himself to Jeanne. 
train_hindifullfemale_00165| They are to attack your camp tomorrow night. 
train_hindifullfemale_00166| Two days ago Jeanne learned where her father's men were hiding. 
train_hindifullfemale_00167| I was near the cabin, and saw you. 
train_hindifullfemale_00168| Low bush whipped him in the face and left no sting. 
train_hindifullfemale_00169| Suddenly Jeanne stopped for an instant. 
train_hindifullfemale_00170| There was none of the joy of meeting in his face. 
train_hindifullfemale_00171| And when you come back in a few days, bring Eileen. 
train_hindifullfemale_00172| Gregson had left the outer door slightly ajar. 
train_hindifullfemale_00173| The date was nearly eighteen years old. 
train_hindifullfemale_00174| They were the presage of storm. 
train_hindifullfemale_00175| Down there the earth was already swelling with life. 
train_hindifullfemale_00176| For the first time in his life he was yearning for a scrap. 
train_hindifullfemale_00177| She had been thoroughly and efficiently mauled. 
train_hindifullfemale_00178| Every bone in her aged body seemed broken or dislocated. 
train_hindifullfemale_00179| Tomorrow I'm going after that bear, he said. 
train_hindifullfemale_00180| If not, let's say our prayers and go to bed. 
train_hindifullfemale_00181| So cheer up, and give us your paw. 
train_hindifullfemale_00182| This time he did not yap for mercy. 
train_hindifullfemale_00183| And the air was growing chilly. 
train_hindifullfemale_00184| Don't you see, I'm chewing this thing in two. 
train_hindifullfemale_00185| The questions may have come vaguely in his mind. 
train_hindifullfemale_00186| Like a flash he launched himself into the feathered mass of the owl. 
train_hindifullfemale_00187| Ahead of them they saw a glimmer of sunshine. 
train_hindifullfemale_00188| The big eyed, clucking moose birds were most annoying. 
train_hindifullfemale_00189| Next to them the Canada jays were more persistent. 
train_hindifullfemale_00190| For a time the exciting thrill of his adventure was gone. 
train_hindifullfemale_00191| He did not rush in. 
train_hindifullfemale_00192| It was edged with ice. 
train_hindifullfemale_00193| He drank of the water cautiously. 
train_hindifullfemale_00194| But a strange thing happened. 
train_hindifullfemale_00195| He began to follow the footprints of the dog. 
train_hindifullfemale_00196| Such a dog the wise driver kills, or turns loose. 
train_hindifullfemale_00197| Sometimes her dreams were filled with visions. 
train_hindifullfemale_00198| Thus had the raw wilderness prepared him for this day. 
train_hindifullfemale_00199| He leapt again, and the club caught him once more. 
train_hindifullfemale_00200| He cried, and swung the club wildly. 
train_hindifullfemale_00201| She turned, fearing that Jacques might see what was in her face. 
train_hindifullfemale_00202| They were following the shore of a lake. 
train_hindifullfemale_00203| The wolf dog thrust his gaunt muzzle toward him. 
train_hindifullfemale_00204| From now on we're pals. 
train_hindifullfemale_00205| He says he bought him of Jacques Le Beau. 
train_hindifullfemale_00206| How much was it. 
train_hindifullfemale_00207| Youth had come back to her, freed from the yoke of oppression. 
train_hindifullfemale_00208| It was not a large lake, and almost round. 
train_hindifullfemale_00209| Its diameter was not more than two hundred yards. 
train_hindifullfemale_00210| It drowned all sound that brute agony and death may have made. 
train_hindifullfemale_00211| Fresh cases, still able to walk, they clustered about the spokesman. 
train_hindifullfemale_00212| Between him and the beach was the cane grass fence of the compound. 
train_hindifullfemale_00213| Besides, he was paid one case of tobacco per head. 
train_hindifullfemale_00214| They die out of spite. 
train_hindifullfemale_00215| The other felt a sudden wave of irritation rush through him. 
train_hindifullfemale_00216| Oppressive as the heat had been, it was now even more oppressive. 
train_hindifullfemale_00217| The ringing of the big bell aroused him. 
train_hindifullfemale_00218| At first he puzzled over something untoward he was sure had happened. 
train_hindifullfemale_00219| A dead man is of no use on a plantation. 
train_hindifullfemale_00220| I don't know why you're here at all. 
train_hindifullfemale_00221| What part of the United States is your home. 
train_hindifullfemale_00222| My, I'm almost homesick for it already. 
train_hindifullfemale_00223| She nodded, and her eyes grew soft and moist. 
train_hindifullfemale_00224| I was brought up the way most girls in Hawaii are brought up. 
train_hindifullfemale_00225| That came before my A B C's. 
train_hindifullfemale_00226| It was the same way with our revolvers and rifles. 
train_hindifullfemale_00227| But it contributed to the smash. 
train_hindifullfemale_00228| The last one I knew was an overseer. 
train_hindifullfemale_00229| Do you know any good land around here. 
train_hindifullfemale_00230| The Resident Commissioner is away in Australia. 
train_hindifullfemale_00231| I cannot follow you, she said. 
train_hindifullfemale_00232| I never allow what can't be changed to annoy me. 
train_hindifullfemale_00233| Why, the average review is more nauseating than cod liver oil. 
train_hindifullfemale_00234| His voice was passionately rebellious. 
train_hindifullfemale_00235| Don't you see I hate you. 
train_hindifullfemale_00236| So Hughie and I did the managing ourselves. 
train_hindifullfemale_00237| It happened to him at the Gallina Society in Oakland one afternoon. 
train_hindifullfemale_00238| He cried in such genuine dismay that she broke into hearty laughter. 
train_hindifullfemale_00239| Wash your hands of me. 
train_hindifullfemale_00240| I think it's much nicer to quarrel. 
train_hindifullfemale_00241| I saw it when she rolled. 
train_hindifullfemale_00242| I only read the quotations. 
train_hindifullfemale_00243| He was the soul of devotion to his employers. 
train_hindifullfemale_00244| Out of his eighteen hundred, he laid aside sixteen hundred each year. 
train_hindifullfemale_00245| You have heard always how he was the lover of the Princess Naomi. 
train_hindifullfemale_00246| They ought to pass here some time today. 
train_hindifullfemale_00247| I had been sad too long already. 
train_hindifullfemale_00248| All eyes, however, were staring at him in certitude of expectancy. 
train_hindifullfemale_00249| He had observed the business life of Hawaii and developed a vaulting ambition. 
train_hindifullfemale_00250| I may manage to freight a cargo back as well. 
train_hindifullfemale_00251| O'Brien had been a clean living young man with ideals. 
train_hindifullfemale_00252| He it was that lived to found the family of the Patino. 
train_hindifullfemale_00253| Straight out they swam, their heads growing smaller and smaller. 
train_hindifullfemale_00254| You won't die of malnutrition, be sure of that. 
train_hindifullfemale_00255| See the length of the body and that elongated neck. 
train_hindifullfemale_00256| They are coming ashore, whoever they are. 
train_hindifullfemale_00257| Soaked in seawater they offset the heat rays. 
train_hindifullfemale_00258| Think of investing in such an adventure. 
train_hindifullfemale_00259| Nobody knew his history, they of the Junta least of all. 
train_hindifullfemale_00260| I have been doubly baptized. 
train_hindifullfemale_00261| They wouldn't be sweeping a big vessel like the Martha. 
train_hindifullfemale_00262| Joan looked triumphantly at Sheldon, who bowed. 
train_hindifullfemale_00263| And I hope you've got plenty of chain out, Captain Young. 
train_hindifullfemale_00264| The discovery seemed to have been made on the spur of the moment. 
train_hindifullfemale_00265| They handled two men already, both grub thieves. 
train_hindifullfemale_00266| Eli Harding asked, as Shunk started to follow. 
train_hindifullfemale_00267| Now go ahead and tell me in a straightforward way what has happened. 
train_hindifullfemale_00268| That's where they cut off the Scottish Chiefs and killed all hands. 
train_hindifullfemale_00269| And after the bath a shave would not be bad. 
train_hindifullfemale_00270| Now please give a plain statement of what occurred. 
train_hindifullfemale_00271| You can take a vacation on pay. 
train_hindifullfemale_00272| They are big trees and require plenty of room. 
train_hindifullfemale_00273| And Raoul listened again to the tale of the house. 
train_hindifullfemale_00274| There are no kiddies and half grown youths among them. 
train_hindifullfemale_00275| Oolong Atoll was one hundred and forty miles in circumference. 
train_hindifullfemale_00276| McCoy found a stifling, poisonous atmosphere in the pent cabin. 
train_hindifullfemale_00277| It would give me nervous prostration. 
train_hindifullfemale_00278| She said with chattering teeth. 
train_hindifullfemale_00279| I'll be out of my head in fifteen minutes. 
train_hindifullfemale_00280| I do not blame you for anything; remember that. 
train_hindifullfemale_00281| If you mean to insinuate Brentwood began hotly. 
train_hindifullfemale_00282| The woman in you is only incidental, accidental, and irrelevant. 
train_hindifullfemale_00283| There was no forecasting this strange girl's processes. 
train_hindifullfemale_00284| But what they want with your toothbrush is more than I can imagine. 
train_hindifullfemale_00285| Give them their choice between a fine or an official whipping. 
train_hindifullfemale_00286| Keep an eye on him. 
train_hindifullfemale_00287| Those are my oysters, he said at last. 
train_hindifullfemale_00288| They are not regular oyster pirates, Nicholas continued. 
train_hindifullfemale_00289| One by one the boys were captured. 
train_hindifullfemale_00290| The weeks had gone by, and no overt acts had been attempted. 
train_hindifullfemale_00291| Here, in the midmorning, the first casualty occurred. 
train_hindifullfemale_00292| They were deep in the primeval forest. 
train_hindifullfemale_00293| He had been foiled in his attempt to escape. 
train_hindifullfemale_00294| And twenty men could hold it with spears and arrows. 
train_hindifullfemale_00295| Bassett was a fastidious man. 
train_hindifullfemale_00296| There's a big English general right now whose name is Roberts. 
train_hindifullfemale_00297| This tacit promise of continued acquaintance gave Saxon a little joy thrill. 
train_hindifullfemale_00298| I tell you I am disgusted with this adventure tomfoolery and rot. 
train_hindifullfemale_00299| From my earliest recollection my sleep was a period of terror. 
train_hindifullfemale_00300| But all my dreams violated this law. 
train_hindifullfemale_00301| It is very plausible to such people, a most convincing hypothesis. 
train_hindifullfemale_00302| But they make the mistake of ignoring their own duality. 
train_hindifullfemale_00303| I graduated last of my class. 
train_hindifullfemale_00304| They had no fixed values, to be altered by adjectives and adverbs. 
train_hindifullfemale_00305| He was pressing beyond the limits of his vocabulary. 
train_hindifullfemale_00306| Very early in my life, I separated from my mother. 
train_hindifullfemale_00307| His infernal chattering worries me even now as I think of it. 
train_hindifullfemale_00308| White Leghorns, said missus Mortimer. 
train_hindifullfemale_00309| Massage under tension, was the cryptic reply. 
train_hindifullfemale_00310| Therefore, hurrah for the game. 
train_hindifullfemale_00311| It lived in perpetual apprehension of that quarter of the compass. 
train_hindifullfemale_00312| Broken Tooth yelled with fright and pain. 
train_hindifullfemale_00313| Thus was momentum gained in the Younger World. 
train_hindifullfemale_00314| Saxon waited, for she knew a fresh idea had struck Billy. 
train_hindifullfemale_00315| We had been chased by them ourselves, more than once. 
train_hindifullfemale_00316| He was a wise hyena. 
train_hindifullfemale_00317| Production is doubling and quadrupling upon itself. 
train_hindifullfemale_00318| And the Edinburgh Evening News says, with editorial gloom. 
train_hindifullfemale_00319| With my strength I slammed it full into Red Eye's face. 
train_hindifullfemale_00320| The log on which Lop Ear was lying got adrift. 
train_hindifullfemale_00321| This is a common experience with all of us. 
train_hindifullfemale_00322| He considered the victory already his and stepped forward to the meat. 
train_hindifullfemale_00323| It was not Red Eye's way to forego revenge so easily. 
train_hindifullfemale_00324| Whiz zip bang. Lop Ear screamed with sudden anguish. 
train_hindifullfemale_00325| Cherokee identified himself with his instinct. 
train_hindifullfemale_00326| They were less stooped than we, less springy in their movements. 
train_hindifullfemale_00327| The Fire People, like ourselves, lived in caves. 
train_hindifullfemale_00328| Ah, indeed. 
